,Position,Track Name,Artist,Streams,URL,date
23,24,Lonely (with benny blanco),Justin Bieber,1869384,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q,2020-12-28
24,25,Head & Heart (feat. MNEK),Joel Corry,1806845,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9,2020-12-28
25,26,ROCKSTAR (feat. Roddy Ricch),DaBaby,1793201,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,2020-12-28
26,27,Hecha Pa' Mi,Boza,1787090,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx,2020-12-28
27,28,Reloj,Rauw Alejandro,1744188,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J,2020-12-28
28,29,Prisoner (feat. Dua Lipa),Miley Cyrus,1740406,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B,2020-12-28
29,30,Someone You Loved,Lewis Capaldi,1714111,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2020-12-28
30,31,La Nota,Manuel Turizo,1675214,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq,2020-12-28
31,32,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,1654212,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,2020-12-28
32,33,Dance Monkey,Tones And I,1629698,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020-12-28
33,34,Roses - Imanbek Remix,SAINt JHN,1581145,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb,2020-12-28
34,35,The Business,Tiësto,1550232,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN,2020-12-28
35,36,Chica Ideal,Sebastian Yatra,1549724,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61,2020-12-28
36,37,Holy (feat. Chance The Rapper),Justin Bieber,1490468,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,2020-12-28
37,38,Don't Start Now,Dua Lipa,1475733,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,2020-12-28
38,39,Heather,Conan Gray,1464495,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,2020-12-28
39,40,Relación - Remix,Sech,1459498,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl,2020-12-28
40,41,BEBÉ,Camilo,1455934,https://open.spotify.com/track/7D7EH7MGyNHWSkqrszerI1,2020-12-28
41,42,TE MUDASTE,Bad Bunny,1450105,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY,2020-12-28
